Sheet,ID,Title,Status,Owner
Processing,PA-00001,Claims servicing,Active,Report Proof
Processing,PA-00002,Claims servicing,Active,Report Proof
Processing,PA-00003,Claims servicing,Active,Report Proof
Processing,PA-00004,Claims servicing,Active,Report Proof
Transfers,XFR-00001,US-NY → IE,Review Required,Report Proof
Transfers,XFR-00002,US-NY → IE,Review Required,Report Proof
Transfers,XFR-00003,US-NY → IE,Review Required,Report Proof
Transfers,XFR-00004,US-NY → IE,Review Required,Report Proof
Rights,DSR-00001,Access,Received,Report Proof
Rights,DSR-00002,Access,Received,Report Proof
Rights,DSR-00003,Access,Received,Report Proof
Rights,DSR-00004,Access,Received,Report Proof
Retention,RET-00001,7 years after claim close,Scheduled,
Retention,RET-00002,7 years after claim close,Scheduled,
Retention,RET-00003,7 years after claim close,Scheduled,
Retention,RET-00004,7 years after claim close,Scheduled,
